None$None$None
ІМПС-1$Іноземна мова професійного спрямування - 1. Іноземна мова професійного спрямування$Прак
ІМПС-2$Іноземна мова професійного спрямування-2. Іноземна мова для професійно-орієнтованого спілкування. Ділове мовлення.$Прак
Інноваційний менеджмент$Інноваційний менеджмент$Лек
Інноваційний менеджмент$Інноваційний менеджмент$Прак
Іноваційний менеджмент$Іноваційний менеджмент$Лек
Іноваційний менеджмент$Іноваційний менеджмент$Прак
Іноземна мова$Іноземна мова$Прак
Іноземна мова. Практичний курс іноземної мови ІІ$Іноземна мова. Практичний курс іноземної мови ІІ$Прак
Іноземна мова. Практичний курс іноземної мови-1$Іноземна мова. Практичний курс іноземної мови-1$Прак
Інтелектуальний АД$Інтелектуальний аналіз даних$None
Інтелектуальний АД$Інтелектуальний аналіз даних$Лек
Автоматизоване опрацювання текстів, Інтелектуальний аналіз ДВО$Автоматизоване опрацювання текстів$None
Автоматизоване тестування програмного забезпечення$Автоматизоване тестування програмного забезпечення$None
Автоматизоване тестування програмного забезпечення, Забезпечення якості ПЗ, Криптографічні методи захисту інформації$Автоматизоване тестування програмного забезпечення$None
Алгебра і геометрія-1$Алгебра і геометрія-1. Лініна алгебра$Лек
Алгебра і геометрія-1$Алгебра і геометрія-1. Лініна алгебра$Прак
Алгоритми і системи компьютерної математики-1. Математичні алгоритми$Алгоритми і системи компьютерної математики-1. Математичні алгоритми$Лаб
Алгоритми і системи компьютерної математики-1. Математичні алгоритми$Алгоритми і системи компьютерної математики-1. Математичні алгоритми$Лек
Алгоритмічні основи обчислювальної геометрії та КГ$Алгоритмічні основи обчислювальної геометрії та компьютерної графіки$None
Алгоритмічні основи обчислювальної геометрії та КГ, Математичні основи компьютерної графіки та мультимедіа, Програмне забезпечення та інструментальні засоби мультимедіа$Алгоритмічні основи обчислювальної геометрії та компьютерної графіки$None
Архітектура обчислювальних систем$Архітектура обчислювальних систем$Лек
Архітектура обчислювальних систем$Архітектура обчислювальних систем$Прак
Бази данних та інформаційні системи-2. Інформаційні системи$Бази данних та інформаційні системи-2. Інформаційні системи$Лаб
Бази данних та інформаційні системи-2. Інформаційні системи$Бази данних та інформаційні системи-2. Інформаційні системи$Лек
Випадкові процеси$Випадкові процеси$Лаб
Випадкові процеси$Випадкові процеси$Лек
ДО-1$Дослідження операцій-1.$Лек
ДО-1$Дослідження операцій-1.$Прак
Дискретна математика-1$Дискретна математика-1. Теорія множин$Лек
